Order_ID,Date,Customer_Name,City,Category,Product,Price,Quantity,Discount_Percent,Revenue,Profit
ORD0001,2025-02-22,Karan Mehta,Hyderabad,Electronics,Laptop,83598,5,5,397090.5,42013.24
ORD0002,2025-04-30,Vikas Singh,Chennai,Electronics,Keyboard,3956,1,0,3956.0,290.46
ORD0003,2025-05-23,Aarav Sharma,Mumbai,Electronics,Keyboard,2128,7,5,14151.2,2296.77
ORD0004,2025-06-22,Riya Singh,Delhi,Home Appliances,Air Cooler,10552,3,5,30073.2,8700.28
ORD0005,2025-01-23,Sneha Roy,Lucknow,Home Appliances,Mixer,4940,6,20,23712.0,2753.68
ORD0006,2025-11-18,Pooja Agarwal,Pune,Accessories,Backpack,3900,2,20,6240.0,769.36
ORD0007,2025-05-29,Riya Singh,Bengaluru,Accessories,Watch,12543,2,0,25086.0,5401.41
ORD0008,2025-03-25,Neha Patel,Pune,Electronics,Headphones,5554,8,25,33324.0,8615.17
ORD0009,2025-10-01,Sneha Roy,Bengaluru,Furniture,Bookshelf,14498,2,20,23196.8,4842.21
ORD0010,2025-04-23,Karan Mehta,Pune,Furniture,Sofa,39867,5,25,149501.25,33195.33
ORD0011,2025-02-03,Priya Gupta,Chennai,Electronics,Smartphone,63857,1,10,57471.3,8637.43
ORD0012,2025-11-26,Anjali Mishra,Mumbai,Clothing,Jeans,3884,8,15,26411.2,7161.95
ORD0013,2025-10-26,Rohit Kumar,Pune,Clothing,Jeans,2210,5,25,8287.5,1625.56
ORD0014,2025-02-26,Rahul Verma,Mumbai,Furniture,Desk,12348,8,0,98784.0,23604.0
ORD0015,2025-08-28,Vikas Singh,Kolkata,Home Appliances,Electric Kettle,1060,7,15,6307.0,1254.92
ORD0016,2025-05-31,Rohit Kumar,Mumbai,Accessories,Backpack,1738,5,25,6517.5,880.15
ORD0017,2025-11-17,Aman Yadav,Hyderabad,Home Appliances,Mixer,4157,3,20,9976.8,2775.12
ORD0018,2025-09-29,Aarav Sharma,Chennai,Accessories,Watch,3504,6,5,19972.8,3691.87
ORD0019,2025-06-07,Priya Gupta,Varanasi,Clothing,Sneakers,1819,2,10,3274.2,882.99
ORD0020,2025-02-05,Vikas Singh,Mumbai,Furniture,Coffee Table,4290,2,25,6435.0,1103.59
ORD0021,2025-11-07,Rohit Kumar,Bengaluru,Furniture,Sofa,51031,3,10,137783.7,25065.4
ORD0022,2025-11-29,Neha Patel,Lucknow,Accessories,Watch,12680,5,15,53890.0,16101.65
ORD0023,2025-01-11,Pooja Agarwal,Hyderabad,Accessories,Sunglasses,1491,4,5,5665.8,373.98
ORD0024,2025-01-31,Priya Gupta,Delhi,Furniture,Coffee Table,6608,1,0,6608.0,1499.75
ORD0025,2025-12-09,Anjali Mishra,Bengaluru,Electronics,Monitor,17827,2,20,28523.2,3123.32
ORD0026,2025-07-28,Priya Gupta,Delhi,Accessories,Watch,12851,8,5,97667.6,24041.35
ORD0027,2025-01-28,Karan Mehta,Delhi,Electronics,Mouse,2065,6,15,10531.5,1608.96
ORD0028,2025-04-08,Vikas Singh,Lucknow,Electronics,Headphones,12931,6,0,77586.0,8702.36
ORD0029,2025-02-08,Anjali Mishra,Hyderabad,Furniture,Sofa,27025,5,15,114856.25,12915.77
ORD0030,2025-05-02,Rahul Verma,Jaipur,Electronics,Laptop,77738,1,0,77738.0,21890.38
ORD0031,2025-01-02,Rohit Kumar,Kolkata,Home Appliances,Fan,3551,7,0,24857.0,2265.95
ORD0032,2025-04-22,Aarav Sharma,Chennai,Home Appliances,Air Cooler,12930,8,5,98268.0,9578.62
ORD0033,2025-09-15,Vikas Singh,Mumbai,Accessories,Backpack,3369,1,0,3369.0,660.47
ORD0034,2025-12-12,Priya Gupta,Jaipur,Electronics,Keyboard,1156,3,0,3468.0,689.3
ORD0035,2025-12-03,Pooja Agarwal,Chennai,Electronics,Keyboard,2516,1,20,2012.8,141.89
ORD0036,2025-05-03,Aman Yadav,Jaipur,Accessories,Wallet,1468,4,25,4404.0,1008.73
ORD0037,2025-11-15,Pooja Agarwal,Delhi,Furniture,Bookshelf,10491,6,0,62946.0,3293.89
ORD0038,2025-02-05,Priya Gupta,Pune,Electronics,Keyboard,2246,5,5,10668.5,3022.54
ORD0039,2025-12-01,Vikas Singh,Varanasi,Clothing,Jeans,2994,5,20,11976.0,3544.46
ORD0040,2025-02-24,Sneha Roy,Hyderabad,Accessories,Wallet,824,3,10,2224.8,175.44
ORD0041,2025-12-18,Karan Mehta,Kolkata,Furniture,Bookshelf,7616,4,25,22848.0,3100.93
ORD0042,2025-05-22,Aarav Sharma,Varanasi,Accessories,Sunglasses,2557,1,0,2557.0,533.32
ORD0043,2025-10-10,Sneha Roy,Jaipur,Clothing,Jeans,3809,5,5,18092.75,4257.36
ORD0044,2025-10-07,Aarav Sharma,Pune,Accessories,Backpack,1716,2,25,2574.0,710.38
ORD0045,2025-07-06,Aarav Sharma,Pune,Accessories,Belt,1006,7,5,6689.9,404.45
ORD0046,2025-07-28,Pooja Agarwal,Mumbai,Furniture,Desk,14927,2,10,26868.6,6583.59
ORD0047,2025-06-20,Rohit Kumar,Bengaluru,Furniture,Desk,19994,3,15,50984.7,2865.17
ORD0048,2025-04-24,Priya Gupta,Lucknow,Clothing,Jeans,1642,7,0,11494.0,3041.87
ORD0049,2025-07-24,Neha Patel,Kolkata,Clothing,Jacket,3864,4,0,15456.0,3323.17
ORD0050,2025-12-14,Vikas Singh,Pune,Electronics,Monitor,16146,6,25,72657.0,12885.82
ORD0051,2025-05-16,Aarav Sharma,Delhi,Electronics,Laptop,52118,3,20,125083.2,36353.38
ORD0052,2025-09-19,Riya Singh,Jaipur,Accessories,Sunglasses,3331,6,15,16988.1,3423.99
ORD0053,2025-09-24,Vikas Singh,Bengaluru,Accessories,Watch,5173,1,25,3879.75,616.94
ORD0054,2025-03-05,Sneha Roy,Kolkata,Clothing,Sneakers,2646,6,20,12700.8,1631.78
ORD0055,2025-10-11,Rahul Verma,Bengaluru,Accessories,Wallet,2072,6,15,10567.2,2370.25
ORD0056,2025-01-01,Aman Yadav,Kolkata,Home Appliances,Fan,3225,5,15,13706.25,2562.85
ORD0057,2025-12-12,Priya Gupta,Hyderabad,Furniture,Sofa,53009,6,15,270345.9,43376.05
ORD0058,2025-11-21,Pooja Agarwal,Pune,Home Appliances,Microwave,17794,2,10,32029.2,5728.84
ORD0059,2025-04-12,Rahul Verma,Varanasi,Electronics,Monitor,31613,4,25,94839.0,12101.92
ORD0060,2025-11-19,Pooja Agarwal,Bengaluru,Electronics,Smartphone,41138,2,15,69934.6,10742.67
ORD0061,2025-01-03,Riya Singh,Jaipur,Home Appliances,Fan,5073,4,5,19277.4,4125.64
ORD0062,2025-03-04,Anjali Mishra,Mumbai,Furniture,Desk,17174,8,0,137392.0,26015.37
ORD0063,2025-09-16,Rohit Kumar,Hyderabad,Home Appliances,Electric Kettle,2099,8,20,13433.6,3408.8
ORD0064,2025-05-07,Karan Mehta,Kolkata,Home Appliances,Microwave,19184,8,15,130451.2,14975.52
ORD0065,2025-05-27,Priya Gupta,Kolkata,Accessories,Sunglasses,2459,5,15,10450.75,724.98
ORD0066,2025-07-16,Sneha Roy,Mumbai,Clothing,Jacket,6424,2,5,12205.6,1070.52
ORD0067,2025-08-01,Aarav Sharma,Bengaluru,Furniture,Office Chair,18594,7,10,117142.2,21747.78
ORD0068,2025-06-30,Aman Yadav,Jaipur,Home Appliances,Fan,1960,7,15,11662.0,600.29
ORD0069,2025-09-06,Aarav Sharma,Jaipur,Home Appliances,Electric Kettle,1703,8,5,12942.8,1530.28
ORD0070,2025-10-01,Aarav Sharma,Jaipur,Clothing,Sneakers,4204,8,5,31950.4,9431.13
ORD0071,2025-08-25,Rahul Verma,Varanasi,Accessories,Belt,511,2,25,766.5,120.46
ORD0072,2025-07-14,Aman Yadav,Jaipur,Clothing,Sneakers,6863,4,15,23334.2,3073.38
ORD0073,2025-06-29,Priya Gupta,Delhi,Clothing,T-Shirt,1463,1,25,1097.25,202.83
ORD0074,2025-11-15,Rahul Verma,Bengaluru,Electronics,Monitor,8016,4,5,30460.8,7913.94
ORD0075,2025-08-27,Sneha Roy,Kolkata,Furniture,Sofa,58873,2,20,94196.8,27028.76
ORD0076,2025-02-25,Pooja Agarwal,Varanasi,Clothing,Jeans,3681,2,5,6993.9,2036.49
ORD0077,2025-10-31,Sneha Roy,Bengaluru,Clothing,Shirt,2337,7,25,12269.25,1221.8
ORD0078,2025-06-27,Vikas Singh,Jaipur,Electronics,Mouse,1535,2,20,2456.0,603.34
ORD0079,2025-09-08,Riya Singh,Jaipur,Clothing,T-Shirt,1536,6,0,9216.0,2418.22
ORD0080,2025-11-30,Aman Yadav,Chennai,Clothing,Sneakers,4006,7,5,26639.9,6219.05
ORD0081,2025-06-15,Priya Gupta,Delhi,Accessories,Sunglasses,4308,7,25,22617.0,4480.85
ORD0082,2025-07-14,Neha Patel,Varanasi,Clothing,Sneakers,5495,8,20,35168.0,7124.44
ORD0083,2025-05-13,Neha Patel,Kolkata,Home Appliances,Air Cooler,8979,8,5,68240.4,9465.37
ORD0084,2025-02-13,Priya Gupta,Jaipur,Accessories,Wallet,2676,1,20,2140.8,614.44
ORD0085,2025-08-18,Aarav Sharma,Delhi,Home Appliances,Electric Kettle,1784,8,25,10704.0,2440.09
ORD0086,2025-07-08,Anjali Mishra,Hyderabad,Clothing,Jeans,2856,4,10,10281.6,2220.72
ORD0087,2025-05-19,Aman Yadav,Kolkata,Accessories,Wallet,2142,6,10,11566.8,2610.79
ORD0088,2025-12-20,Rahul Verma,Bengaluru,Furniture,Office Chair,11310,6,0,67860.0,15995.98
ORD0089,2025-06-01,Priya Gupta,Pune,Furniture,Sofa,33120,5,0,165600.0,42750.81
ORD0090,2025-01-28,Vikas Singh,Kolkata,Furniture,Bookshelf,3231,3,10,8723.7,535.45
ORD0091,2025-09-03,Anjali Mishra,Pune,Furniture,Sofa,21723,1,20,17378.4,2104.26
ORD0092,2025-07-25,Anjali Mishra,Delhi,Furniture,Office Chair,13273,8,0,106184.0,27133.08
ORD0093,2025-02-13,Priya Gupta,Delhi,Accessories,Backpack,2042,3,20,4900.8,1407.91
ORD0094,2025-06-02,Pooja Agarwal,Jaipur,Accessories,Sunglasses,2348,7,15,13970.6,3871.62
ORD0095,2025-02-20,Priya Gupta,Bengaluru,Clothing,Shirt,3343,1,20,2674.4,775.65
ORD0096,2025-03-22,Aarav Sharma,Jaipur,Clothing,T-Shirt,821,4,5,3119.8,586.52
ORD0097,2025-12-28,Aman Yadav,Lucknow,Home Appliances,Electric Kettle,2724,5,0,13620.0,1469.18
ORD0098,2025-04-12,Rohit Kumar,Delhi,Electronics,Mouse,1256,5,25,4710.0,929.98
ORD0099,2025-02-06,Aarav Sharma,Mumbai,Accessories,Watch,11610,3,10,31347.0,8045.45
ORD0100,2025-12-19,Aman Yadav,Jaipur,Clothing,Shirt,3131,5,15,13306.75,1079.02
ORD0101,2025-01-21,Rohit Kumar,Pune,Clothing,Shirt,3011,8,15,20474.8,1435.5
ORD0102,2025-10-22,Pooja Agarwal,Varanasi,Accessories,Wallet,505,2,5,959.5,278.71
ORD0103,2025-08-15,Aman Yadav,Mumbai,Clothing,Shirt,964,3,15,2458.2,441.84
ORD0104,2025-06-20,Neha Patel,Delhi,Accessories,Sunglasses,4528,2,15,7697.6,1054.5
ORD0105,2025-07-25,Vikas Singh,Varanasi,Furniture,Bookshelf,9744,8,10,70156.8,15129.03
ORD0106,2025-07-26,Vikas Singh,Varanasi,Home Appliances,Mixer,4576,5,10,20592.0,1626.36
ORD0107,2025-11-15,Anjali Mishra,Lucknow,Accessories,Sunglasses,3885,1,5,3690.75,662.9
ORD0108,2025-12-24,Anjali Mishra,Delhi,Electronics,Smartphone,27501,3,10,74252.7,11845.46
